name,gender,boy,girl
Abdii ,M,1,0
Abdijabar,M,1,0
Abdikadir,M,1,0
Abdikafi,M,1,0
Abdikani ,M,1,0
Abdikarim,M,3,0
Abdikhabir,M,1,0
Abdikhadar,M,1,0
Abdikhali ,M,1,0
Abdikhaliq,M,1,0
Abdikhaliq ,M,1,0
Abdilaahi,M,1,0
Abdiladif,M,1,0
Abdilahi,M,4,0
Abdilatif ,M,1,0
Abdilkareem,M,1,0
Abdillahi,M,1,0
Abdilshafi,M,1,0
Abdimajid,M,1,0
Abdimalik,M,8,0
Abdinaasir,M,1,0
Abdinajib,M,1,0
Abdinasir,M,2,0
Abdinoor,M,1,0
Abdinur,M,1,0
Abdiqadar,M,1,0
Abdiqafar,M,1,0
Abdiqani,M,3,0
Abdiqani ,M,1,0
Abdiraheem,M,1,0
Abdi-Raheem,M,2,0
Abdirahim,M,1,0
Abdirahmaan,M,1,0
Abdirahman,M,54,0
Abdirahman ,M,7,0
Abdirahman-Afi,M,1,0
Abdirasaq ,M,2,0
Abdiraxman,M,1,0
Abdirihman,M,1,0
Abdirisaq,M,1,0
Abdirisaq ,M,2,0
Abdirizak,M,4,0
Abdisa,M,1,0
Abdisalaan,M,1,0
Abdisalam ,M,1,0
Abdisalan,M,2,0
Abdisamad,M,4,0
Abdisatar,M,1,0
Abdishakur,M,1,0
Abdi-Shakur,M,1,0
Abdi-Shukuur,M,1,0
Abdiwali,M,2,0
Abdiziz,M,1,0
Abdlkadr,M,1,0
Abdlmgid,M,1,0
Abdlmjed,M,1,0
Abdo,M,5,0
Abdo-El-Muttaulib,M,1,0
Abdol,M,1,0
Abdol-Halim,M,1,0
Abdolrahem,M,1,0
Abdolsalam,M,1,0
Abdon,M,4,0
Abdorrahman,M,1,0
Abdosh,M,1,0
Abdossalami,M,1,0
Abdou,M,2,0
Abdoul,M,7,0
Abdoul ,M,2,0
Abdoulaye,M,6,0
Abdoulaye ,M,2,0
Abdoul-Aziz,M,1,0
Abdourahim,M,1,0
Abdourahman,M,2,0
Abdourrahman,M,2,0
Abdou-Salam,M,1,0
Abdruhman,M,1,0
Abd-Sallam,M,1,0
Abdsamad ,M,1,0
Abdu,M,7,0
Abdualallah,M,1,0
Abdualhkim-Jim,M,1,0
Abduallah,M,2,0
Abdualrhman,M,1,0
Abduarhman,M,1,0
Abdu-Arrahman,M,1,0
Abdul,M,186,0
Abdul ,M,6,0
Abdula,M,1,0
Abdulaahi,M,1,0
Abdulah,M,4,0
Abdulahad,M,3,0
Abdul-Ahad,M,1,0
Abdulahi,M,5,0
Abdulai,M,1,0
Abdul-Aleem,M,1,0
Abdulallah,M,2,0
Abdul-Arrahman,M,1,0
Abdu-Lateef,M,1,0
Abdul-Azeem,M,2,0
Abdul-Azeez,M,3,0
Abdulaziz,M,15,0
Abdul-Aziz,M,4,0
Abdulaziz ,M,2,0
Abdulbaith ,M,1,0
Abdulbaki,M,1,0
Abdulbari,M,3,0
Abdul-Barr,M,1,0
Abdul-Barry,M,1,0
Abdulbaseer,M,1,0
Abdulbasit,M,2,0
Abdulellah,M,1,0
Abdulfatah,M,2,0
Abdul-Fattah,M,1,0
Abdulgafar ,M,1,0
Abdulgalim,M,1,0
Abdulghani,M,2,0
Abdul-Ghani,M,1,0
Abdulghias,M,1,0
Abdulhadi,M,8,0
Abdul-Hadi,M,2,0
Abdulhafiz,M,1,0
Abdulhakeem,M,1,0
Abdul-Hakeem,M,1,0
Abdulhakim,M,1,0
Abdul-Hakim,M,1,0
Abdulhakim ,M,1,0
Abdulhalim,M,1,0
Abdulhamid,M,2,0
Abdul-Hamid,M,1,0
Abdulhaseeb,M,1,0
Abdulhay,M,2,0
Abdulhayi,M,1,0
Abdulhazeem,M,1,0
Abdul-Jalil,M,1,0
Abdulkader,M,1,0
Abdulkadir,M,6,0
Abdulkareem,M,3,0
Abdul-Kareem,M,6,0
Abdulkareem ,M,1,0
Abdulkarim,M,1,0
Abdul-Karim,M,1,0
Abdulkerim,M,1,0
Abdulkhalak,M,1,0
Abdulkhani,M,1,0
Abdulla,M,4,0
Abdulla ,M,1,0
Abdullaah,M,1,0
Abdullah,M,260,0
Abdullaha,M,1,0
Abdullah-Abdelfatah,M,1,0
Abdullahe,M,1,0
Abdullahh,M,1,0
Abdullah-Hatam,M,1,0
Abdullahi,M,48,0
Abdullahi ,M,7,0
Abdullahkhan,M,1,0
Abdullatif,M,1,0
Abdul-Latif,M,2,0
Abdulleh,M,1,0
Abdullha-Khalil,M,1,0
Abdullmoez,M,1,0
Abdulloh,M,1,0
Abdulmajeed,M,1,0
Abdul-Majeed,M,1,0
Abdulmajid,M,2,0
Abdul-Majid,M,1,0
Abdul-Maleek,M,1,0
Abdulmalek,M,1,0
Abdulmalik,M,7,0
Abdul-Malik,M,2,0
Abdulmalik ,M,1,0
Abdul-Malik ,M,1,0
Abdulmannan,M,1,0
Abdul-Mannan,M,1,0
Abdulmelik,M,1,0
Abdulmoaeez,M,1,0
Abdulmohsen,M,1,0
Abdul-Mohyman,M,1,0
Abdulmoiz,M,1,0
Abdul-Moiz,M,1,0
Abdulmouean,M,1,0
Abdulmuhaimin,M,1,0
Abdul-Muhaymin,M,1,0
Abdulmuhsin,M,1,0
Abdulmuiz,M,1,0
Abdul-Muizz,M,1,0
Abdul-Mu'izz,M,1,0
Abdul-Mumin,M,1,0
Abdul-Muqsit,M,1,0
Abdulnaser,M,1,0
AbdulNasser,M,1,0
Abdulqadir,M,3,0
Abdulqaioom,M,1,0
Abdulqudus,M,1,0
Abdulrafay,M,1,0
Abdul-Rafay,M,2,0
Abdulraheem,M,2,0
Abdul-Raheem,M,2,0
Abdulrahim,M,5,0
Abdul-Rahim,M,1,0
Abdulrahim ,M,1,0
Abdul-Rahime,M,1,0
Abdulrahman,M,56,0
Abdul-Rahman,M,17,0
Abdulrahman ,M,3,0
Abdul-Rahman ,M,1,0
Abdulrahman-Mohammed,M,1,0
Abdulrahmen,M,1,0
Abdulrahmman,M,1,0
Abdulraim,M,1,0
Abdulrashid,M,1,0
Abdulrazak,M,1,0
Abdulrazzak,M,2,0
Abdul-Razzaq,M,1,0
Abdulrehman,M,4,0
Abdul-Rehman,M,2,0
Abdulrhman,M,3,0
Abdulruhman,M,1,0
Abdulsabur,M,2,0
Abdulsajad,M,1,0
Abdulsalam,M,9,0
Abdulsattar,M,1,0
Abdulselam,M,1,0
Abdulwaase,M,1,0
Abdulwadood,M,1,0
Abdulwadood ,M,1,0
Abdul-Wadud,M,1,0
Abdulwahab,M,1,0
Abdulwahid,M,5,0
Abdul-Wahid,M,1,0
Abdulwakeel,M,1,0
Abdul-Wasay,M,1,0
Abdulwase,M,1,0
Abdulweli,M,1,0
Abdumalik,M,1,0
Abdur,M,12,0
Abdurahaman,M,1,0
Abdurahim,M,2,0
Abdurahman,M,16,0
Abdu-Rahman,M,2,0
Abdurahman ,M,3,0
Abdurahmon,M,1,0
Abdurazak,M,1,0
Abdurhman,M,2,0
Abdur-Raafay,M,1,0
Abdurrafay,M,1,0
Abdur-Raheem,M,1,0
Abdurrahim,M,2,0
Abdur-Rahmaan,M,1,0
Abdur-Rahmaan ,M,1,0
Abdurrahman,M,12,0
Abdur-Rahman,M,7,0
Abdu-Rrahman,M,1,0
Abdurrahman ,M,1,0
Abdurrehman,M,2,0
Abdur-Rehman,M,1,0
Abdus,M,2,0
Abdusaed,M,1,0
Abdusalam,M,2,0
Abdusamed,M,1,0
Abdusemed,M,1,0
Abdussami,M,1,0
Abe,M,46,0
Abe ,M,3,0
Abed,M,5,0
Abed-Alrohman,M,1,0
Abedarzag,M,1,0
Abedin,M,1,0
Abeeb,M,1,0
Abeed,M,4,0
Abeen,M,1,0
Abeeng,M,1,0
Abeer,M,4,0
